dam_number,grid_lat,grid_lon,top_vol_acre_feet,bot_vol_acre_feet,depth_feet,width_feet,length_feet,start_node,end_node
1,37.0625,-88.3125,6128996.964,0,38.2,7173.9,972852.5,954,964
2,36.5625,-82.0625,763999.6216,0,100.5,2644.9,125103.7,865,867
3,36.4375,-82.4375,193399.9042,0,46.8,1041.7,172611.4,868,870
4,36.3125,-82.0625,676999.6647,0,105.1,3258.7,86041.8,478,479
5,36.1875,-84.0625,2551998.736,0,75,2173.9,680943.9,792,797
6,36.1875,-83.4375,1540999.237,0,52.1,4515,285046.3,894,901
7,35.9375,-83.4375,1460999.276,0,52,5371.7,227509.2,840,842
8,35.8125,-84.1875,392999.8054,0,28.1,1899.2,320941,906,908
9,35.6875,-84.3125,423999.79,0,27.2,3875.5,175250.7,813,815
10,35.5625,-84.8125,1174999.418,0,31.3,3238.7,504109.7,910,916
11,35.4375,-86.1875,133999.9336,0,44.7,1455.5,89736.8,159,159
12,35.4375,-83.8125,1442999.285,0,140.2,2926.6,153080.4,809,811
13,35.1875,-86.3125,607999.6989,0,57.9,2532.3,180529.3,625,624
14,35.1875,-84.1875,433999.785,0,73.9,2180.9,117185.7,745,746
15,35.1875,-85.1875,737299.6348,0,20.4,5048.2,310911.6,917,919
16,35.0625,-84.6875,83299.95874,0,51.4,1781.5,39589.8,291,292
17,35.0625,-88.1875,1331999.34,0,31.2,6682.8,278184.1,942,945
18,35.0625,-83.8125,240499.8809,0,35.9,4250.8,68622.3,742,743
19,34.9375,-84.0625,174299.9137,0,43.9,1621,106628.4,307,308
20,34.9375,-84.3125,195899.903,0,60.8,2414.4,58065,289,289
21,34.8125,-87.4375,1068999.471,0,15.9,7465.4,391146.9,933,938
22,34.8125,-87.6875,640199.6829,0,41,8301.1,81818.8,940,940
23,34.5625,-87.9375,111499.9448,0,32.3,3161.7,47507.7,173,173
24,34.4375,-86.4375,1048699.481,0,15.9,7191,399592.7,926,930
25,34.3125,-87.9375,39699.98034,0,57.5,474.3,63343.6,585,585
